Län,År,Population
Västmanlands län,1995,261101
Dalarnas län,1995,289956
Gävleborgs län,1995,288509
Västernorrlands län,1995,258290
Jämtlands län,1995,135584
Västerbottens län,1995,260472
Norrbottens län,1995,266011
Stockholms län,1996,1744330
Uppsala län,1996,289153
Södermanlands län,1996,257383
Östergötlands län,1996,415659
Jönköpings län,1996,328726
Kronobergs län,1996,179655
Kalmar län,1996,241896
Gotlands län,1996,57971
Blekinge län,1996,151972
Skåne län,1996,1114368
Hallands län,1996,270060
Västra Götalands län,1996,1485014
Värmlands län,1996,282147
Örebro län,1996,275855
Västmanlands län,1996,259987
Dalarnas län,1996,288171
Gävleborgs län,1996,286789
Västernorrlands län,1996,256587
Jämtlands län,1996,134561
Västerbottens län,1996,259895
Norrbottens län,1996,264320
Stockholms län,1997,1762924
Uppsala län,1997,290473
Södermanlands län,1997,256870
Östergötlands län,1997,414360
Jönköpings län,1997,328068
Kronobergs län,1997,179021
Kalmar län,1997,240160
Gotlands län,1997,57791
Blekinge län,1997,151692
Skåne län,1997,1116603
Hallands län,1997,271325
Västra Götalands län,1997,1485611
Värmlands län,1997,280178
Örebro län,1997,275163
Västmanlands län,1997,258541
Dalarnas län,1997,285232
Gävleborgs län,1997,284636
Västernorrlands län,1997,254354
Jämtlands län,1997,133143
Västerbottens län,1997,259163
Norrbottens län,1997,262317
Stockholms län,1998,1783440
Uppsala län,1998,291413
Södermanlands län,1998,256269
Östergötlands län,1998,412411
Jönköpings län,1998,328059
Kronobergs län,1998,178078
Kalmar län,1998,238104
Gotlands län,1998,57643
Blekinge län,1998,151414
Skåne län,1998,1120426
Hallands län,1998,272539
Västra Götalands län,1998,1486918
Värmlands län,1998,278313
Örebro län,1998,274584
Västmanlands län,1998,257661
Dalarnas län,1998,282898
Gävleborgs län,1998,282226
Västernorrlands län,1998,251884
Jämtlands län,1998,131766
Västerbottens län,1998,257803
Norrbottens län,1998,260473
Stockholms län,1999,1803377
Uppsala län,1999,292415
Södermanlands län,1999,255890
Östergötlands län,1999,411320
Jönköpings län,1999,327266
Kronobergs län,1999,177149
Kalmar län,1999,236501
Gotlands län,1999,57428
Blekinge län,1999,150625
Skåne län,1999,1123786
Hallands län,1999,273537
Västra Götalands län,1999,1488709
Värmlands län,1999,276600
Örebro län,1999,273822
